,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
498_1_8, PBDTS-DTFBT:PC70BM=1:1,,,0.84,6.55,50.20,2.76
498_1_9, PBDTS-DTFBT:PC70BM=1:2,,,0.71,5.69,43.97,1.78
498_1_10, PBDTS-DTFBT:PC70BM=1:3,,,0.62,3.07,40.06,0.92
498_1_11, PBDTS-TPD:PC70BM=1:1,,,0.66,2.93,29.65,0.57
498_1_12, PBDTS-TPD:PC70BM=1:2,,,0.63,4.88,37.92,1.17
498_1_13, PBDTS-TPD:PC70BM=1:2,,,0.81,4.14,43.22,1.45
498_1_14, PBDTS-TPD:PC70BM=1:2,,,0.93,5.23,41.61,2.14
498_1_15, PBDTS-TPD:PC70BM=1:3,,,0.68,3.48,41.32,0.98
498_1_16, PBDTS-DPP:PC70BM=1:1,,,0.75,5.76,34.78,1.48
498_1_17, PBDTS-DPP:PC70BM=1:2,,,0.72,6.72,37.69,1.82
498_1_18, PBDTS-DPP:PC70BM=1:2,,,0.66,6.27,35.30,1.46
498_1_19, PBDTS-DPP:PC70BM=1:2,,,0.78,7.79,39.62,2.41
498_1_20, PBDTS-DPP:PC70BM=1:3,,,0.72,5.99,37.66,1.63
499_0_0,,Solution,,,,,
499_0_1, PDTTDPP-EH ,,,,,875,
499_0_2, PDTTDPP-BO ,,,,,892,
499_0_3, PDTTDPP-DT ,,,,,890,
499_1_0,,(°C),,,,,
499_1_1, PDTTDPP-EH ,,,,,103 ,
499_1_2,200,,,,,105 ,
499_1_3, PDTTDPP-BO ,,,,,104 ,
499_1_4,200,,,,,105 ,
499_1_5, PDTTDPP-DT ,,,,,105 ,
499_1_6,200,,,,,106 ,
499_2_0, PDTTDPP-EH ,,,0.54,8,0.51,2.22
499_2_1,DIO 1%,,,0.54,7.01,0.59,2.21
499_2_2, PDTTDPP-BO ,,,0.56,9.25,0.51,2.68
499_2_3,DIO 1%,,,0.55,10.01,0.54,2.93
499_2_4, PDTTDPP-DT ,,,0.59,7.1,0.63,2.66
499_2_5,DIO 1%,,, 0.58 , 10.25 , 0.58 , 3.44 
500_2_0,PTTIBT,,,,,103 (1.8×103),
500_2_1,PTTIMBI,,,,,106 (4.5×105),
500_3_0,PTTIBT,,,0.61,2.26,0.39,0.54
500_3_1,DIO (3vol%),,,0.62,3.28,0.42,0.85
500_3_2,PTTIMBI,,,0.69,4.82,0.50,1.67
500_3_3,DIO (3vol%),,,0.69,7.10,0.53,2.60
501_1_0,0.76,,,0.76,8.64,0.38,2.49
501_1_1,0.89,,,0.89,8.64,0.49,3.76
502_2_0, P1:PC71BM,,,0.88,3.42,0.28,0.85/0.81
502_2_1,,DCB(0.5% DIO),,0.87,3.77,0.46,1.51/1.44
502_2_2, P2:PC71BM,,,0.84,4.54,0.29,1.12/1.07
502_2_3,,DCB(0.5% DIO),,0.86,7.48,0.52,3.33/3.21
503_1_0,BDT8TT:PC71BM,,,0.75,1.8,32.9,0.40
503_1_1,1:2,,,0.74,3.0,42.6,0.96
503_1_2,1:3,,,0.73,3.2,46.7,1.01
503_1_3,1:4,,,0.77,4.5,47.3,1.63
